ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
612000053,Audio,Snowy Egret,Egretta thula,,,Robin Hartley,2024-04-20,2024,4,20,710,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1,,,,,,,,,,,S9000000047,,,,,,,,,2830,,3.08,34,,,
612000054,Photo,Snowy Egret,Egretta thula,,,Robin Hartley,2024-04-20,2024,4,20,1115,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Adult – 1; Juvenile – 1,,,,,,,,,,,S9000000047,,,,,,,,,2830,,3.28,23,,,
612000055,Video,Herring Gull,Larus argentatus,,,Robin Hartley,2024-04-20,2024,4,20,1745,United States,United States/NJ/Passaic,NJ,Passaic,Garret Mountain Reservation,40.9168,-74.1490,Unknown – 1,Nest Building,,,,,,,,,,S9000000047,,,,,,,,,2470,,4.59,24,,,
612000056,Photo,Cedar Waxwing,Bombycilla cedrorum,,,Robin Hartley,2024-04-25,2024,4,25,1845,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult Female – 1,,,,,,,,,,,S9000000048,,,,,,,,,4850,,4.01,20,,,
612000057,Audio,Chipping Sparrow,Spizella passerina,,,Robin Hartley,2024-04-25,2024,4,25,500,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,,Call,,,,,,,,,,S9000000048,,,,,,,,,5100,,3.08,3,,,
612000058,Video,Song Sparrow,Melospiza melodia,,,Robin Hartley,2024-05-01,2024,5,1,1005,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Immature – 1,,,,,,,,,,,S9000000049,,,,,,,,,5230,,3.81,27,,,
612000059,Photo,Palm Warbler,Setophaga palmarum,,,Robin Hartley,2024-05-01,2024,5,1,1220,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Adult – 1; Juvenile – 1,,,,,,,,,,,S9000000049,,,,,,,,,5920,,3.20,7,,,
612000060,Audio,Eastern Meadowlark,Sturnella magna,,,Robin Hartley,2024-05-06,2024,5,6,705,United States,United States/NY/Suffolk,NY,Suffolk,Montauk Point SP,41.0717,-71.8567,,,,,,,,,,,,S9000000050,,,,,,,,,5420,,3.34,35,,,
612000061,Photo,Chipping Sparrow,Spizella passerina,,,Robin Hartley,2024-05-09,2024,5,9,605,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,Adult Female – 1,Carrying Food,,,,,,,,,,S9000000051,,,,,,,,,5100,,4.13,36,,,
612000062,Photo,Magnolia Warbler,Setophaga magnolia,,,Robin Hartley,2024-05-09,2024,5,9,1440,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,Juvenile – 1,,,,,,,,,,,S9000000051,,,,,,,,,5840,,3.66,2,,,
612000063,Photo,Blue Jay,Cyanocitta cristata,,,Robin Hartley,2024-05-09,2024,5,9,1110,United States,United States/NY/Orange,NY,Orange,Sterling Forest SP,41.1976,-74.2549,Adult Male – 1,Carrying Food,,,,,,,,,,S9000000051,,,,,,,,,4000,,4.89,39,,,
612000064,Photo,Great Egret,Ardea alba,,,Robin Hartley,2024-05-11,2024,5,11,1645,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult Female – 1,,,,,,,,,,,S9000000053,,,,,,,,,2820,,4.86,24,,,
612000065,Photo,Warbling Vireo,Vireo gilvus,,,Robin Hartley,2024-05-11,2024,5,11,1510,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult Female – 1,Feeding Young,,,,,,,,,,S9000000053,,,,,,,,,3970,,4.20,5,,,
612000066,Photo,Carolina Wren,Thryothorus ludovicianus,,,Robin Hartley,2024-05-11,2024,5,11,1845,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult Female – 1; Juvenile – 1,"Preening, Scratching, or Bathing",,,,,,,,,,S9000000053,,,,,,,,,4450,,5.00,2,,,
612000067,Photo,Carolina Wren,Thryothorus ludovicianus,,,Robin Hartley,2024-05-11,2024,5,11,650,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Immature – 1,,,,,,,,,,,S9000000053,,,,,,,,,4450,,3.36,16,,,
612000068,Photo,White-crowned Sparrow,Zonotrichia leucophrys,,,Robin Hartley,2024-05-18,2024,5,18,1420,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,Adult – 1,,,,,,,,,,,S9000000055,,,,,,,,,5190,,4.32,7,,,
612000069,Audio,Northern Parula,Setophaga americana,,,Robin Hartley,2024-05-18,2024,5,18,550,United States,United States/NY/Kings,NY,Kings,Prospect Park,40.6602,-73.9690,,Song,,,,,,,,,,S9000000055,,,,,,,,,5820,,3.22,19,,,
612000070,Audio,Fish Crow,Corvus ossifragus,,,Robin Hartley,2024-05-18,2024,5,18,510,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Adult – 1,,,,,,,,,,,S9000000056,,,,,,,,,4060,,3.47,2,,,
612000071,Photo,White-breasted Nuthatch,Sitta carolinensis,,,Robin Hartley,2024-05-21,2024,5,21,920,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult Female – 1,,,,,,,,,,,S9000000057,,,,,,,,,4300,,4.20,2,,,
612000072,Photo,Ovenbird,Seiurus aurocapilla,,,Robin Hartley,2024-05-21,2024,5,21,1450,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult – 1,,,,,,,,,,,S9000000057,,,,,,,,,5700,,3.21,21,,,
612000073,Video,Wood Thrush,Hylocichla mustelina,,,Robin Hartley,2024-05-25,2024,5,25,1005,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Adult Female – 1,,,,,,,,,,,S9000000060,,,,,,,,,4680,,4.12,8,,,
612000074,Photo,Wood Thrush,Hylocichla mustelina,,,Robin Hartley,2024-05-25,2024,5,25,1330,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,,Carrying Food,,,,,,,,,,S9000000060,,,,,,,,,4680,,3.68,21,,,
612000075,Photo,Savannah Sparrow,Passerculus sandwichensis,,,Robin Hartley,2024-05-25,2024,5,25,1210,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Adult – 1,"Courtship, Display, or Copulation",,,,,,,,,,S9000000060,,,,,,,,,5210,,3.05,4,,,
612000076,Photo,Tufted Titmouse,Baeolophus bicolor,,,Robin Hartley,2024-05-25,2024,5,25,1350,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,,Feeding Young,,,,,,,,,,S9000000060,,,,,,,,,4250,,3.15,12,,,
612000077,Photo,Least Sandpiper,Calidris minutilla,,,Robin Hartley,2024-05-25,2024,5,25,705,United States,United States/NY/Queens,NY,Queens,Jamaica Bay Wildlife Refuge,40.6188,-73.8233,Adult – 1,,,,,,,,,,,S9000000060,,,,,,,,,2070,,3.79,4,,,
612000078,Photo,Baltimore Oriole,Icterus galbula,,,Robin Hartley,2024-05-31,2024,5,31,1000,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,Juvenile – 1,Carrying Food,,,,,,,,,,S9000000061,,,,,,,,,5500,,3.36,5,,,
612000079,Audio,Warbling Vireo,Vireo gilvus,,,Robin Hartley,2024-05-31,2024,5,31,515,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,,Song,,,,,,,,,,S9000000062,,,,,,,,,3970,,4.80,6,,,
612000080,Photo,Common Raven,Corvus corax,,,Robin Hartley,2024-05-31,2024,5,31,705,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Adult – 1,Feeding Young,,,,,,,,,,S9000000062,,,,,,,,,4070,,4.16,15,,,
612000081,Audio,Marsh Wren,Cistothorus palustris,,,Robin Hartley,2024-05-31,2024,5,31,650,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,,Song; Call,,,,,,,,,,S9000000062,,,,,,,,,4470,,3.31,2,,,
612000082,Photo,Bobolink,Dolichonyx oryzivorus,,,Robin Hartley,2024-06-02,2024,6,2,1240,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult Female – 1,,,,,,,,,,,S9000000063,,,,,,,,,5400,,3.21,14,,,
612000083,Photo,Laughing Gull,Leucophaeus atricilla,,,Robin Hartley,2024-06-02,2024,6,2,1420,United States,United States/NY/Nassau,NY,Nassau,Jones Beach SP--Coast Guard Station,40.5985,-73.5070,Adult – 1,,,,,,,,,,,S9000000063,,,,,,,,,2400,,3.36,28,,,
612000084,Photo,Tree Swallow,Tachycineta bicolor,,,Robin Hartley,2024-06-05,2024,6,5,1605,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,Unknown – 1,,,,,,,,,,,S9000000064,,,,,,,,,4100,,4.67,6,,,
612000085,Photo,Eastern Wood-Pewee,Contopus virens,,,Robin Hartley,2024-06-09,2024,6,9,1320,United States,United States/NY/Suffolk,NY,Suffolk,Montauk Point SP,41.0717,-71.8567,Adult – 1,,,,,,,,,,,S9000000065,,,,,,,,,3800,,3.98,28,,,
612000086,Photo,Osprey,Pandion haliaetus,,,Robin Hartley,2024-06-09,2024,6,9,1500,United States,United States/NY/Suffolk,NY,Suffolk,Montauk Point SP,41.0717,-71.8567,Adult – 1,,,,,,,,,,,S9000000065,,,,,,,,,3000,,3.75,19,,,
612000087,Photo,Belted Kingfisher,Megaceryle alcyon,,,Robin Hartley,2024-06-09,2024,6,9,1805,United States,United States/NY/Suffolk,NY,Suffolk,Montauk Point SP,41.0717,-71.8567,Adult Female – 1,Carrying Food,,,,,,,,,,S9000000065,,,,,,,,,3400,,3.73,26,,,
612000088,Photo,Blue Jay,Cyanocitta cristata,,,Robin Hartley,2024-06-11,2024,6,11,1810,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Juvenile – 1,,,,,,,,,,,S9000000066,,,,,,,,,4000,,4.42,25,,,
612000089,Photo,Turkey Vulture,Cathartes aura,,,Robin Hartley,2024-06-11,2024,6,11,1850,United States,United States/NY/Rockland,NY,Rockland,Doodletown,41.3079,-73.9912,Immature – 1,,,,,,,,,,,S9000000067,,,,,,,,,2960,,4.71,28,,,
612000090,Photo,Turkey Vulture,Cathartes aura,,,Robin Hartley,2024-06-11,2024,6,11,1730,United States,United States/NY/Rockland,NY,Rockland,Doodletown,41.3079,-73.9912,,,,,,,,,,,,S9000000067,,,,,,,,,2960,,4.78,21,,,
612000091,Photo,Rock Pigeon,Columba livia,,,Robin Hartley,2024-06-17,2024,6,17,940,United States,United States/NY/New York,NY,New York,Central Park,40.7813,-73.9665,Juvenile – 1,,,,,,,,,,,S9000000068,,,,,,,,,1000,,3.67,23,,,
612000092,Audio,Tufted Titmouse,Baeolophus bicolor,,,Robin Hartley,2024-06-26,2024,6,26,645,United States,United States/NJ/Monmouth,NJ,Monmouth,Sandy Hook,40.4376,-73.9916,,Song,,,,,,,,,,S9000000074,,,,,,,,,4250,,3.95,7,,,
